"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"강원도 강릉시 교동","9**","다가구","25m이상","426.34","262.2","202011","5","77,500","2015","강릉대로",""
"강원도 강릉시 교동","1***","다가구","12m미만","363.45","274.4","202108","24","79,500","2010","율곡초교길11번길",""
"강원도 강릉시 교동","1***","다가구","12m미만","448.39","281","202012","24","58,000","2002","원대로179번안길",""
"강원도 강릉시 교동","9**","다가구","12m미만","510.96","289.3","202010","22","110,000","2016","원대로8번길",""
"강원도 강릉시 교동","9**","다가구","12m미만","528.34","289.4","202106","30","104,000","2016","원대로14번길",""
"강원도 강릉시 교동","1***","다가구","12m미만","541.28","334","202104","20","86,500","2005","원대로179번길",""
"강원도 강릉시 교동","7**","다가구","12m미만","534.91","406","202010","16","105,000","2014","율곡로2953번길",""
"강원도 강릉시 교동","8**","단독","8m미만","26.84","96","202102","8","3,300","1973","임영로213번길",""
"강원도 강릉시 교동","1**","단독","8m미만","164.16","99","202103","20","12,850","1993","강릉대로203번길",""
"강원도 강릉시 교동","9**","단독","8m미만","58.38","103.1","202109","10","10,000","1976","명주로78번길",""
"강원도 강릉시 교동","1**","단독","8m미만","89.64","106","202103","9","12,100","1994","강릉대로203번길",""
"강원도 강릉시 교동","9**","단독","8m미만","28.79","109","202010","22","3,350","1970","화부산로8번길",""
