"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전라북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라북도 고창군 고창읍 석교리","1","0001","0000","두광숲속으로","84.8734","208.23","202104","12","32,500","4","2019","모양성로 130",""
"전라북도 고창군 고창읍 석교리","1","0001","0000","두광숲속으로","84.8734","208.23","202106","5","27,600","2","2019","모양성로 130",""
"전라북도 고창군 고창읍 석교리","1","0001","0000","두광숲속으로","84.8734","208.23","202106","8","29,000","3","2019","모양성로 130",""
"전라북도 고창군 고창읍 석교리","1","0001","0000","두광숲속으로","84.8734","208.23","202108","31","25,900","1","2019","모양성로 130",""
"전라북도 고창군 고창읍 석교리","1","0001","0000","두광숲속으로","84.8734","208.23","202109","17","34,000","4","2019","모양성로 130",""
"전라북도 고창군 고창읍 석정리","712-2","0712","0002","석정파크빌1차","84.7337","141.02","202012","24","29,000","3","2017","석정2로 151-11",""
"전라북도 고창군 고창읍 석정리","712-2","0712","0002","석정파크빌1차","84.7337","141.02","202101","23","29,000","3","2017","석정2로 151-11",""
"전라북도 고창군 고창읍 석정리","712-2","0712","0002","석정파크빌1차","84.7337","141.02","202102","27","29,500","3","2017","석정2로 151-11",""
"전라북도 고창군 고창읍 석정리","712-2","0712","0002","석정파크빌1차","84.7337","141.02","202106","25","31,000","2","2017","석정2로 151-11","20210714"
"전라북도 고창군 고창읍 석정리","712-2","0712","0002","석정파크빌1차","84.7337","141.02","202108","10","31,900","2","2017","석정2로 151-11",""
"전라북도 고창군 고창읍 석정리","712-2","0712","0002","석정파크빌1차","84.7337","141.02","202109","25","32,000","4","2017","석정2로 151-11",""
"전라북도 고창군 고창읍 석정리","712-3","0712","0003","석정파크빌2단지","84.7651","177.73","202011","13","33,000","4","2018","석정2로 127-16",""
"전라북도 고창군 고창읍 석정리","712-3","0712","0003","석정파크빌2단지","84.7651","177.73","202103","13","31,300","1","2018","석정2로 127-16",""
"전라북도 고창군 고창읍 석정리","712-4","0712","0004","석정파크빌3차","84.9812","149.52","202104","30","35,000","4","2019","석정2로 127-1",""
"전라북도 고창군 고창읍 석정리","712-4","0712","0004","석정파크빌3차","84.9812","149.52","202105","18","27,500","3","2019","석정2로 127-1",""
"전라북도 고창군 고창읍 월곡리","198","0198","0000","뜰안에101동102동","84.8","164.25","202010","10","19,000","2","2014","동서대로 2443",""
"전라북도 고창군 고창읍 월곡리","198","0198","0000","뜰안에101동102동","84.8","164.25","202011","7","21,800","1","2014","동서대로 2443",""
"전라북도 고창군 고창읍 월곡리","198-9","0198","0009","뜰안에103동","84.8","164.88","202010","1","23,250","4","2014","동서대로 2443-1",""
"전라북도 고창군 고창읍 월곡리","198-9","0198","0009","뜰안에103동","84.8","164.88","202010","1","18,700","2","2014","동서대로 2443-1",""
"전라북도 고창군 고창읍 월곡리","198-9","0198","0009","뜰안에103동","84.8","164.88","202108","18","19,500","2","2014","동서대로 2443-1","20210821"
"전라북도 고창군 고창읍 월곡리","198-9","0198","0009","뜰안에103동","84.8","164.88","202108","23","19,000","2","2014","동서대로 2443-1",""
"전라북도 고창군 고창읍 월곡리","285","0285","0000","리첸시아","84.9592","111.88","202103","12","22,350","4","2018","상월1길 13",""
"전라북도 고창군 고창읍 월곡리","285","0285","0000","리첸시아","84.9592","111.88","202103","13","26,900","5","2018","상월1길 13",""
"전라북도 고창군 고창읍 월곡리","285","0285","0000","리첸시아","84.9592","111.88","202104","26","22,400","2","2018","상월1길 13",""
"전라북도 고창군 고창읍 월곡리","285","0285","0000","리첸시아","84.9592","111.88","202104","29","22,700","3","2018","상월1길 13",""
"전라북도 고창군 고창읍 월곡리","285","0285","0000","리첸시아","84.9592","111.88","202106","1","22,500","2","2018","상월1길 13",""
"전라북도 고창군 고창읍 월곡리","285","0285","0000","리첸시아","84.9592","111.88","202107","16","23,400","3","2018","상월1길 13",""
"전라북도 고창군 고창읍 월곡리","287-2","0287","0002","펠리체","79.5494","167.21","202012","1","19,000","5","2013","동서대로 2395",""
"전라북도 고창군 고창읍 월곡리","324-1","0324","0001","포에버(A,B)","147.79","440.5","202102","20","27,000","2","2005","상월1길 12",""
"전라북도 고창군 고창읍 월곡리","324","0324","0000","포에버빌","78.2","92.27","202012","24","19,000","3","2016","상월1길 14",""
