"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"세종특별자치시 금남면 원봉리","3**","단독","8m미만","97.45","813","202103","30","44,580","2018","원봉2길",""
"세종특별자치시 금남면 원봉리","5**","단독","8m미만","145.4","936","202011","20","80,000","2006","황토고개길",""
"세종특별자치시 금남면 호탄리","1**","단독","8m미만","107.58","645","202107","16","103,000","1983","호탄길","20210917"
"세종특별자치시 금남면 호탄리","1**","단독","8m미만","107.58","645","202109","16","103,000","1983","호탄길",""
"세종특별자치시 부강면 금호리","3**","단독","8m미만","142.96","193.26","202010","26","24,377","2016","부강금호로",""
"세종특별자치시 부강면 금호리","3**","단독","8m미만","140.18","462","202102","19","38,900","2016","부강금호로",""
"세종특별자치시 부강면 금호리","1**","단독","8m미만","89.33","610","202103","25","24,669","2018","null",""
"세종특별자치시 부강면 금호리","1**","단독","8m미만","92.07","646","202103","10","34,900","2015","금호황성골길",""
"세종특별자치시 부강면 금호리","1**","단독","8m미만","82.21","650","202103","28","20,800","2018","금호황성골길",""
"세종특별자치시 부강면 금호리","3**","단독","12m미만","99.82","897","202011","17","86,200","2009","부강금호로",""
"세종특별자치시 부강면 금호리","3**","단독","12m미만","99.82","897","202011","17","86,200","2009","부강금호로","20210503"
"세종특별자치시 부강면 등곡리","5**","단독","8m미만","62.82","305","202102","2","4,500","1978","시목부강로",""
"세종특별자치시 부강면 등곡리","1**","단독","8m미만","104.58","661","202102","20","20,000","2003","노호등곡1로",""
"세종특별자치시 부강면 문곡리","6**","단독","8m미만","103.74","552","202103","6","25,920","1935","문곡달미길",""
"세종특별자치시 부강면 문곡리","8**","단독","8m미만","83.16","579","202011","11","22,000","1990","문곡자창이길",""
"세종특별자치시 부강면 부강리","4**","다가구","12m미만","217.46","126","202109","3","40,000","2014","부강신대길","20210909"
"세종특별자치시 부강면 부강리","4**","다가구","12m미만","217.46","126","202109","3","39,800","2014","부강신대길",""
"세종특별자치시 부강면 부강리","4**","다가구","12m미만","509.06","260","202108","1","116,500","2013","시장1길",""
