"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"충청남도 계룡시 엄사면 유동리","3**","단독","8m미만","92.25","951.4","202106","9","32,142","1900","체육로",""
"충청남도 계룡시 엄사면 향한리","5**","단독","8m미만","63.73","264","202011","30","4,000","1945","향적산1길",""
"충청남도 계룡시 엄사면 향한리","1**","단독","8m미만","82.35","1091","202104","17","40,450","2007","광석향한길",""
"충청남도 계룡시 엄사면 향한리","1**","단독","8m미만","82.35","1120","202104","17","41,000","2007","광석향한길","20210608"
"충청남도 공주시 계룡면 경천리","1**","단독","8m미만","117.4","159","202108","20","1,700","1978","돌정길","20211008"
"충청남도 공주시 계룡면 경천리","1**","단독","8m미만","117.4","159","202108","20","1,700","1978","돌정길",""
"충청남도 공주시 계룡면 경천리","1**","단독","8m미만","117.4","159","202108","20","1,800","1978","돌정길","20211006"
"충청남도 공주시 계룡면 경천리","6*","단독","8m미만","73.44","284","202106","13","7,300","1991","돌정길",""
"충청남도 공주시 계룡면 경천리","6*","단독","12m미만","239.5","324","202010","21","14,700","1998","신원사로",""
"충청남도 공주시 계룡면 경천리","5**","단독","8m미만","81.7","456","202108","28","3,650","1991","상보안길","20211007"
"충청남도 공주시 계룡면 경천리","5**","단독","8m미만","81.7","456","202108","28","3,650","1991","상보안길",""
"충청남도 공주시 계룡면 경천리","5*","단독","8m미만","70","469","202012","28","10,400","1989","돌정길",""
"충청남도 공주시 계룡면 경천리","5*","단독","8m미만","70","469","202012","28","10,411","1989","돌정길","20201228"
"충청남도 공주시 계룡면 경천리","6*","단독","8m미만","82.64","826","202103","10","11,000","1980","돌정길",""
"충청남도 공주시 계룡면 기산리","8**","단독","8m미만","33","410","202105","23","11,458","1955","다라울중대길",""
"충청남도 공주시 계룡면 기산리","6**","단독","8m미만","97.5","990","202106","17","33,000","2012","null",""
"충청남도 공주시 계룡면 내흥리","6*","단독","8m미만","98","470","202010","15","24,000","2008","윗난댕이길",""
"충청남도 공주시 계룡면 내흥리","6**","단독","8m미만","79.17","684","202010","21","14,000","2016","시화산2길",""
"충청남도 공주시 계룡면 봉명리","1**","단독","8m미만","92.4","357","202010","20","11,000","1977","신봉길",""
"충청남도 공주시 계룡면 봉명리","1**","단독","8m미만","85.8","378","202101","25","9,500","1977","신봉길",""
"충청남도 공주시 계룡면 상성리","8*","단독","12m미만","186.49","861","202102","15","13,094","1988","구부내로",""
"충청남도 공주시 계룡면 양화리","5**","단독","8m미만","36","340","202104","1","25,000","2017","신원사로",""
"충청남도 공주시 계룡면 양화리","5**","단독","12m미만","118.26","520","202106","14","17,700","2005","신원사로",""
"충청남도 공주시 계룡면 양화리","2**","단독","8m미만","96.48","612","202109","27","13,000","1965","보목1길",""
"충청남도 공주시 계룡면 양화리","5**","단독","12m미만","113.19","800","202011","5","13,350","2015","신원사로",""
"충청남도 공주시 계룡면 양화리","5**","단독","12m미만","99.64","844","202103","31","34,300","2016","신원사로",""
"충청남도 공주시 계룡면 월암리","3**","단독","8m미만","46.8","200.8","202105","29","10,000","1995","문화1길",""
"충청남도 공주시 계룡면 월암리","3**","단독","8m미만","84.6","330.2","202011","4","12,000","1994","문화1길",""
"충청남도 공주시 계룡면 월암리","3**","단독","8m미만","116.79","370.1","202106","2","25,000","1999","문화1길",""
"충청남도 공주시 계룡면 월암리","3**","단독","8m미만","116.79","370.1","202012","25","25,000","1999","문화1길",""
"충청남도 공주시 계룡면 월암리","9*","단독","8m미만","269.19","777","202101","15","42,500","2001","월암송정길",""
"충청남도 공주시 계룡면 월암리","1**","단독","8m미만","45.49","1019","202103","8","19,500","2012","월암송정길",""
"충청남도 공주시 계룡면 월암리","1**","단독","8m미만","93.19","1022","202107","1","31,250","2010","월암송정길",""
"충청남도 공주시 계룡면 유평리","3**","단독","8m미만","110.82","562","202104","27","15,875","2002","한림정길",""
"충청남도 공주시 계룡면 유평리","5*","단독","8m미만","1008","2275","202011","20","30,000","2009","null",""
"충청남도 공주시 계룡면 중장리","1**","단독","8m미만","181.55","235","202105","3","34,000","2019","소라티길",""
"충청남도 공주시 계룡면 중장리","4**","단독","8m미만","183.15","512","202105","7","20,000","2016","오미2길",""
"충청남도 공주시 계룡면 중장리","1**","단독","8m미만","182.1","544","202104","30","17,000","1979","소라티길",""
"충청남도 공주시 계룡면 중장리","1*","단독","8m미만","97.84","674","202101","3","18,260","2001","선바위길",""
"충청남도 공주시 계룡면 하대리","4**","단독","8m미만","129.4","562","202105","17","16,500","1993","null",""
"충청남도 공주시 계룡면 하대리","3**","단독","8m미만","67.3","674","202102","28","15,000","1945","대장길",""
"충청남도 공주시 계룡면 향지리","3**","단독","12m미만","118.88","383","202010","26","2,800","1996","구부내로",""
"충청남도 공주시 계룡면 화헌리","8*","단독","8m미만","89.07","237","202105","3","9,300","1998","만가리길",""
"충청남도 공주시 계룡면 화헌리","8*","단독","8m미만","82","251","202011","18","14,000","1985","구부내로",""
"충청남도 공주시 계룡면 화헌리","1**","단독","8m미만","48","509","202109","25","6,000","2007","구부내로",""
"충청남도 공주시 계룡면 화헌리","2**","단독","8m미만","46.27","893","202012","7","7,660","1968","화마루길",""
"충청남도 공주시 교동","2**","단독","8m미만","65.05","137.2","202101","19","6,300","1984","향교1길",""
"충청남도 공주시 교동","1**","단독","8m미만","66.42","138.6","202108","5","9,800","1972","향교1길",""
"충청남도 공주시 교동","2**","단독","8m미만","127.11","144.9","202105","5","20,000","1988","향교1길",""
"충청남도 공주시 교동","2**","단독","8m미만","131.72","172.9","202103","18","9,300","1989","향교1길",""
"충청남도 공주시 교동","2**","단독","8m미만","84.6","200.4","202108","13","22,000","1993","향교1길",""
"충청남도 공주시 교동","4*","단독","8m미만","62.92","216","202104","17","7,400","1974","용당길",""
"충청남도 공주시 교동","2**","단독","8m미만","82.72","296.7","202108","16","18,000","1979","향교1길",""
"충청남도 공주시 교동","1**","단독","8m미만","76.14","356.7","202108","7","25,000","1989","향교1길",""
"충청남도 공주시 교동","1**","단독","8m미만","814.82","419.5","202108","1","92,500","2014","옛군청옆길",""
"충청남도 공주시 금성동","1**","단독","25m미만","104.05","99","202105","6","11,300","1985","봉황로",""
"충청남도 공주시 금성동","8*","단독","8m미만","43.4","106","202107","2","3,000","1985","정자방2길",""
"충청남도 공주시 금성동","1**","단독","8m미만","91.23","144","202103","25","6,900","1984","송산리길",""
"충청남도 공주시 금성동","1**","단독","8m미만","82.5","168.7","202011","2","30,000","2019","미나리2길",""
"충청남도 공주시 금성동","1**","단독","8m미만","84.48","195","202105","11","26,700","2016","송산리길",""
"충청남도 공주시 금성동","8*","단독","8m미만","109.3","204","202108","18","11,000","1985","정자방2길",""
"충청남도 공주시 금성동","7*","단독","8m미만","129.11","270","202101","13","41,400","1982","정자방1길","20210402"
"충청남도 공주시 금성동","7*","단독","8m미만","129.11","270","202101","13","41,400","1982","정자방1길",""
"충청남도 공주시 금학동","2**","단독","8m미만","213","55","202105","25","20,800","1990","금학동길","20210715"
"충청남도 공주시 금학동","2**","단독","8m미만","54.9","106","202106","14","4,200","1996","무안길",""
"충청남도 공주시 금학동","2**","단독","8m미만","40.14","109","202108","31","3,000","1974","하선길",""
"충청남도 공주시 금학동","2**","단독","8m미만","64.66","131","202104","8","1,000","1987","하선길",""
"충청남도 공주시 금학동","1**","단독","8m미만","69.42","142","202108","25","14,800","2008","수원지공원길",""
"충청남도 공주시 금학동","2**","단독","8m미만","153.81","148","202011","5","8,600","1988","공주여고길",""
"충청남도 공주시 금학동","2**","단독","8m미만","83.13","163","202102","9","15,000","1990","양지마을2길",""
"충청남도 공주시 금학동","3**","단독","8m미만","80.14","165","202103","23","8,300","1982","하선길",""
