"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라남도 강진군 강진읍 서성리","274","0274","0000","하나베버리힐즈101동","84.3813","170.63","202104","4","21,400","2","2017","고성길 74",""
"전라남도 강진군 강진읍 평동리","263-4","0263","0004","남일주택1","54.6","50.99","202101","11","3,900","1","1983","삼일로 9",""
"전라남도 강진군 강진읍 평동리","263-4","0263","0004","남일주택1","54.6","50.99","202104","22","3,500","3","1983","삼일로 9",""
"전라남도 강진군 강진읍 평동리","263-4","0263","0004","남일주택1","54.6","50.99","202106","1","4,000","2","1983","삼일로 9",""
"전라남도 강진군 강진읍 평동리","263-14","0263","0014","남일주택2","54.6","51.08","202105","3","3,300","3","1983","삼일로 9",""
"전라남도 강진군 강진읍 평동리","92-1","0092","0001","모닝타운","59.67","62.77","202011","18","7,500","4","2011","금릉안길 2",""
"전라남도 강진군 강진읍 평동리","226-3","0226","0003","중앙빌라","80.44","49.37","202101","19","6,300","3","1991","평동1길 26",""
"전라남도 강진군 강진읍 평동리","226-3","0226","0003","중앙빌라","80.44","49.37","202101","19","6,300","3","1991","평동1길 26","20210122"
"전라남도 강진군 강진읍 평동리","226-3","0226","0003","중앙빌라","68.38","42.54","202105","28","6,000","2","1991","평동1길 26",""
"전라남도 강진군 강진읍 평동리","176-1","0176","0001","코스모스빌라","84.63","64.33","202011","3","8,950","3","1990","평동2길 24",""
"전라남도 강진군 군동면 호계리","737","0737","0000","두산경복궁","84.9874","101.24","202012","10","13,500","3","2013","군동계산길 53",""
"전라남도 강진군 군동면 호계리","737","0737","0000","두산경복궁","84.9874","101.24","202103","16","14,800","4","2013","군동계산길 53",""
"전라남도 강진군 군동면 호계리","737","0737","0000","두산경복궁","84.9874","101.24","202104","15","14,500","4","2013","군동계산길 53",""
"전라남도 강진군 군동면 호계리","737","0737","0000","두산경복궁","84.9874","101.24","202105","24","14,500","4","2013","군동계산길 53",""
"전라남도 강진군 군동면 호계리","737","0737","0000","두산경복궁","84.9874","101.24","202105","26","12,000","1","2013","군동계산길 53",""
"전라남도 강진군 군동면 호계리","1056-2","1056","0002","청자베스트빌","41.3777","58.18","202103","22","5,500","2","2012","진흥로 11-1",""
"전라남도 강진군 성전면 송월리","185-4","0185","0004","무지개맨션","76.31","96","202010","24","4,350","3","1992","예향로 59-12",""
"전라남도 강진군 성전면 송월리","185-4","0185","0004","무지개맨션","76.31","96","202011","5","2,200","1","1992","예향로 59-12",""
"전라남도 강진군 성전면 송월리","185-4","0185","0004","무지개맨션","76.31","96","202106","9","3,400","4","1992","예향로 59-12",""
"전라남도 강진군 성전면 월평리","430-18","0430","0018","성전파크101동","75.73","83.38","202106","2","4,700","3","2003","별뫼로 342-5",""
"전라남도 강진군 성전면 월평리","430-10","0430","0010","성전파크103동","75.73","83","202012","17","4,750","1","2003","별뫼로 342-5",""
"전라남도 강진군 성전면 월평리","430-10","0430","0010","성전파크103동","75.73","83","202107","22","3,650","4","2003","별뫼로 342-5",""
"전라남도 강진군 성전면 월평리","430-9","0430","0009","성전파크105동","75.73","94.88","202012","2","4,500","3","2003","별뫼로 342-5",""
"전라남도 강진군 성전면 월평리","430-9","0430","0009","성전파크105동","75.73","94.88","202102","2","6,000","2","2003","별뫼로 342-5",""
"전라남도 강진군 성전면 월평리","430-14","0430","0014","성전파크106동","70.93","67.37","202108","11","3,600","1","2003","별뫼로 342-5",""
"전라남도 강진군 성전면 월평리","430-15","0430","0015","성전파크107동","31.2","35.94","202011","14","1,500","4","2003","별뫼로 342-5",""
"전라남도 강진군 성전면 월평리","430-15","0430","0015","성전파크107동","31.2","35.94","202011","29","1,500","4","2003","별뫼로 342-5",""
"전라남도 강진군 성전면 월평리","430-15","0430","0015","성전파크107동","31.2","35.94","202012","17","1,400","2","2003","별뫼로 342-5",""
"전라남도 강진군 성전면 월평리","430-15","0430","0015","성전파크107동","31.2","35.94","202012","17","1,500","3","2003","별뫼로 342-5",""
"전라남도 강진군 성전면 월평리","430-15","0430","0015","성전파크107동","31.2","35.94","202102","22","1,450","4","2003","별뫼로 342-5",""
"전라남도 고흥군 고흥읍 남계리","713-1","0713","0001","(713-1)","116.91","88.04","202106","30","33,000","3","2021","봉동주공길 28-1",""
"전라남도 고흥군 고흥읍 남계리","713-1","0713","0001","(713-1)","116.91","88.04","202107","2","33,000","2","2021","봉동주공길 28-1",""
"전라남도 고흥군 고흥읍 남계리","713-1","0713","0001","(713-1)","116.91","88.04","202107","2","33,000","2","2021","봉동주공길 28-1",""
"전라남도 고흥군 고흥읍 남계리","713-1","0713","0001","(713-1)","116.91","88.04","202107","2","36,000","5","2021","봉동주공길 28-1",""
"전라남도 고흥군 고흥읍 남계리","713-1","0713","0001","(713-1)","116.91","88.04","202107","6","36,000","5","2021","봉동주공길 28-1",""
"전라남도 고흥군 고흥읍 남계리","713-1","0713","0001","(713-1)","116.91","88.04","202107","9","33,000","3","2021","봉동주공길 28-1",""
"전라남도 고흥군 고흥읍 남계리","713-1","0713","0001","(713-1)","116.91","88.04","202107","12","33,000","4","2021","봉동주공길 28-1",""
"전라남도 고흥군 고흥읍 남계리","713-1","0713","0001","(713-1)","116.91","88.04","202107","19","33,000","4","2021","봉동주공길 28-1",""
"전라남도 고흥군 고흥읍 남계리","413","0413","0000","413","60.12","81.82","202011","9","2,000","1","1987","신계학림길 32-3",""
"전라남도 고흥군 고흥읍 남계리","405-1","0405","0001","기한리츠빌","100.62","69.6","202010","23","19,000","4","2011","신계학림길 45",""
"전라남도 고흥군 고흥읍 남계리","405-1","0405","0001","기한리츠빌","100.62","69.6","202103","8","16,000","4","2011","신계학림길 45",""
"전라남도 고흥군 고흥읍 남계리","300","0300","0000","모아빌라1차","94.05","128","202101","18","10,000","3","2000","고흥로 1834-7",""
"전라남도 고흥군 고흥읍 남계리","337-1","0337","0001","새부강빌2차","111.87","122.13","202010","23","17,500","2","2011","신계학림길 49-6",""
"전라남도 고흥군 고흥읍 남계리","257-14","0257","0014","세라빌라","76.8","62.44","202101","5","6,100","4","2000","고흥로 1864",""
"전라남도 고흥군 고흥읍 남계리","327-2","0327","0002","송림파크A","88.17","54.94","202011","27","15,900","5","2011","고흥로 1816",""
"전라남도 고흥군 고흥읍 남계리","210-2","0210","0002","수아빌라","111.35","115.31","202104","19","10,500","1","2001","고흥로 1908",""
"전라남도 고흥군 고흥읍 남계리","439-1","0439","0001","우주3차나동","76.59","50","202012","10","7,200","4","2004","신계학림길 18",""
"전라남도 고흥군 고흥읍 남계리","407-7","0407","0007","우주빌라가동","76.7","75.75","202010","7","8,400","1","2002","고흥로 1831-2",""
"전라남도 고흥군 고흥읍 남계리","719-5","0719","0005","청산5차","74.74","86.88","202012","24","5,000","4","1994","봉남봉동길 28-2",""
"전라남도 고흥군 고흥읍 남계리","719-5","0719","0005","청산5차","74.74","86.88","202107","28","7,500","2","1994","봉남봉동길 28-2",""
"전라남도 고흥군 고흥읍 남계리","347","0347","0000","하늘빛맨션1차","107.35","74.69","202104","24","17,500","4","2011","신계학림길 49-3",""
"전라남도 고흥군 고흥읍 등암리","230","0230","0000","지뜨빌라","77.785","148.61","202012","28","25,000","2","2014","고흥로 1625-45",""
"전라남도 고흥군 고흥읍 등암리","230","0230","0000","지뜨빌라","77.815","148.67","202105","20","25,000","1","2014","고흥로 1625-45",""
"전라남도 고흥군 고흥읍 서문리","215-10","0215","0010","(215-10)","68.78","175","202108","18","9,000","1","1986","여산당촌길 50-12",""
"전라남도 고흥군 고흥읍 서문리","216-13","0216","0013","(216-13)","61.58","133.75","202107","30","5,000","1","1984","두원로 5-10",""
"전라남도 고흥군 고흥읍 서문리","219-10","0219","0010","(219-10)","73.19","62.67","202103","17","6,500","3","1984","서문여산길 54-4",""
"전라남도 고흥군 고흥읍 서문리","219-6","0219","0006","(219-6)","75.13","26","202102","2","7,100","4","1997","터미널길 30",""
"전라남도 고흥군 고흥읍 서문리","255-9","0255","0009","(255-9)","78.33","47.88","202101","14","5,000","1","1994","홍교당촌길 52",""
"전라남도 고흥군 고흥읍 서문리","218-5","0218","0005","금양연립","49.635","53.17","202103","30","2,950","3","1992","여산당촌길 26-11",""
"전라남도 고흥군 고흥읍 서문리","218-5","0218","0005","금양연립","55.53","53.17","202106","24","2,500","4","1992","여산당촌길 26-11",""
"전라남도 고흥군 고흥읍 서문리","218-5","0218","0005","금양연립","49.635","53.17","202109","27","5,000","4","1992","여산당촌길 26-11",""
"전라남도 고흥군 고흥읍 서문리","231-1","0231","0001","로얄맨션","81.95","51.83","202107","13","8,000","2","1991","홍교당촌길 22",""
"전라남도 고흥군 고흥읍 서문리","215-1","0215","0001","명성A동","84.12","46.25","202109","27","3,500","2","1992","홍교당촌길 47-5",""
"전라남도 고흥군 고흥읍 서문리","219-2","0219","0002","여산하이빌","109.47","65","202107","4","15,500","4","2009","홍교당촌길 9-4",""
"전라남도 고흥군 고흥읍 서문리","217-15","0217","0015","우정빌라","71.3","80","202010","7","5,300","1","1983","두원로 8-4",""
"전라남도 고흥군 고흥읍 서문리","218-1","0218","0001","은하","61.29","83.25","202011","25","3,400","2","1982","홍교당촌길 25",""
"전라남도 고흥군 고흥읍 옥하리","263","0263","0000","SJ휴가","58.8","54.55","202011","30","8,500","3","2016","옥하여산길 15",""
"전라남도 고흥군 고흥읍 옥하리","263","0263","0000","SJ휴가","58.8","54.55","202011","30","8,500","4","2016","옥하여산길 15","20201207"
"전라남도 고흥군 고흥읍 옥하리","263","0263","0000","SJ휴가","63.9","59.28","202102","10","9,500","3","2016","옥하여산길 15",""
"전라남도 고흥군 고흥읍 옥하리","284-1","0284","0001","새한빌라","77.04","59.75","202010","12","6,000","4","1995","옥하여산길 5",""
"전라남도 고흥군 고흥읍 옥하리","200-16","0200","0016","옥상빌라","64.89","79","202102","27","4,250","2","1983","후동길 11-4",""
"전라남도 고흥군 고흥읍 옥하리","159-6","0159","0006","청산3차","75.67","98.88","202011","7","5,000","3","1991","후동길 8-13",""
"전라남도 고흥군 고흥읍 옥하리","159-6","0159","0006","청산3차","75.67","98.88","202108","4","9,000","3","1991","후동길 8-13",""
"전라남도 고흥군 고흥읍 옥하리","180-3","0180","0003","후동빌라","63.99","85.39","202107","8","5,000","2","1982","후동길 8-15",""
"전라남도 고흥군 고흥읍 행정리","236-4","0236","0004","거성하이츠","78.09","59.83","202103","15","5,600","1","1994","흥양길 87-6",""
"전라남도 고흥군 고흥읍 행정리","236-4","0236","0004","거성하이츠","77.31","59.83","202109","10","5,900","1","1994","흥양길 87-6",""
"전라남도 고흥군 고흥읍 행정리","201-1","0201","0001","대영빌라B동","84.08","62.88","202010","28","5,500","1","1992","교촌길 11",""
"전라남도 고흥군 고흥읍 행정리","201-1","0201","0001","대영빌라B동","84.08","62.88","202103","23","4,000","4","1992","교촌길 11",""
"전라남도 고흥군 고흥읍 행정리","201-1","0201","0001","대영빌라B동","84.89","62.88","202109","15","6,700","2","1992","교촌길 11",""
"전라남도 고흥군 고흥읍 행정리","224-1","0224","0001","청산4차빌라","76.02","69.81","202106","1","6,000","2","1993","교촌길 12",""
"전라남도 고흥군 고흥읍 호형리","1269-4","1269","0004","삼형빌라(가,나)","56.97","29","202012","16","4,400","4","1991","학교길 45-4",""
"전라남도 고흥군 고흥읍 호형리","1269-4","1269","0004","삼형빌라(가,나)","54.24","29","202105","21","4,500","4","1991","학교길 45-4",""
"전라남도 고흥군 고흥읍 호형리","1269-4","1269","0004","삼형빌라(가,나)","56.97","29","202107","19","6,500","3","1991","학교길 45-4",""
"전라남도 고흥군 고흥읍 호형리","1271-1","1271","0001","삼형빌라(다)","56.97","32.19","202103","5","6,000","3","1991","학교길 45-10",""
"전라남도 고흥군 고흥읍 호형리","1271-5","1271","0005","삼형빌라(마)","75.09","48.5","202010","15","5,000","4","1992","학교길 45-12",""
"전라남도 고흥군 고흥읍 호형리","1272-7","1272","0007","우산빌라2차","76.35","69","202108","9","10,000","1","2002","학교길 45-5",""
"전라남도 고흥군 고흥읍 호형리","1231-4","1231","0004","탑스빌","75.94","66.38","202106","1","11,300","2","2001","봉동주공길 41-8",""
"전라남도 고흥군 고흥읍 호형리","1277-8","1277","0008","하늘빛맨션2차","46.61","30.13","202012","21","9,500","2","2011","학교길 31-2",""
"전라남도 고흥군 과역면 과역리","143-1","0143","0001","(143-1)","71.33","93.33","202102","26","1,700","2","1983","과역로 864-5",""
"전라남도 고흥군 과역면 과역리","77-2","0077","0002","(77-2)","64.8","40.16","202012","7","3,200","3","1999","과역로 860",""
"전라남도 고흥군 과역면 과역리","216-1","0216","0001","우주빌","85.72","87.5","202012","17","9,300","2","2011","송학큰길 5",""
"전라남도 고흥군 과역면 과역리","157-3","0157","0003","유진빌라","71.55","59.63","202011","29","4,500","2","1992","과역로 873",""
"전라남도 고흥군 과역면 과역리","233-1","0233","0001","청남파크","77.31","63","202012","29","2,000","1","1991","송학샘길 40-5",""
"전라남도 고흥군 금산면 대흥리","489-24","0489","0024","부강골드빌B동","61.02","94.25","202010","12","6,800","1","2012","거금중앙길 135",""
"전라남도 고흥군 금산면 대흥리","489-24","0489","0024","부강골드빌B동","61.02","94.25","202104","6","6,500","4","2012","거금중앙길 135",""
"전라남도 고흥군 금산면 대흥리","489-24","0489","0024","부강골드빌B동","61.02","94.25","202107","7","6,000","4","2012","거금중앙길 135",""
"전라남도 고흥군 금산면 대흥리","489-24","0489","0024","부강골드빌B동","61.02","94.25","202109","16","7,500","2","2012","거금중앙길 135",""
"전라남도 고흥군 도덕면 도덕리","771-8","0771","0008","(771-8)","67.32","97.75","202012","30","1,200","1","1985","고흥로 451-8",""
"전라남도 고흥군 도양읍 봉암리","2699-156","2699","0156","공작맨션","77.51","37","202010","13","5,000","4","1991","녹동남촌3길 22-1",""
"전라남도 고흥군 도양읍 봉암리","2671-4","2671","0004","녹동맨션","75.59","69","202102","18","5,600","4","1991","녹동5구길 17-15",""
"전라남도 고흥군 도양읍 봉암리","3286","3286","0000","대명(3286)","65.4","33.78","202108","6","4,500","4","1994","녹동신항8길 9-6",""
"전라남도 고흥군 도양읍 봉암리","3262","3262","0000","대명빌라(5차)","86.97","39.27","202106","9","7,500","3","1997","우주항공로 44",""
"전라남도 고흥군 도양읍 봉암리","3262","3262","0000","대명빌라(5차)","89.72","40.51","202107","15","6,100","2","1997","우주항공로 44",""
"전라남도 고흥군 도양읍 봉암리","3261","3261","0000","대명빌라3차","71.91","37","202108","25","6,500","4","1995","우주항공로 46",""
"전라남도 고흥군 도양읍 봉암리","2191","2191","0000","더스테이","59.83","77.6","202010","6","18,900","5","2019","북문길 9-6",""
"전라남도 고흥군 도양읍 봉암리","2191","2191","0000","더스테이","59.83","77.6","202010","8","16,500","3","2019","북문길 9-6",""
"전라남도 고흥군 도양읍 봉암리","2191","2191","0000","더스테이","59.83","77.6","202010","20","18,900","5","2019","북문길 9-6",""
"전라남도 고흥군 도양읍 봉암리","2191","2191","0000","더스테이","59.83","77.6","202105","27","17,000","5","2019","북문길 9-6",""
"전라남도 고흥군 도양읍 봉암리","2191","2191","0000","더스테이","59.83","77.6","202107","2","16,500","4","2019","북문길 9-6",""
"전라남도 고흥군 도양읍 봉암리","2191","2191","0000","더스테이","59.83","77.6","202107","27","18,950","5","2019","북문길 9-6",""
"전라남도 고흥군 도양읍 봉암리","2768","2768","0000","럭셔리우스","68.23","62","202104","23","17,800","5","2017","목넘가는길 90",""
"전라남도 고흥군 도양읍 봉암리","2768","2768","0000","럭셔리우스","68.23","62","202105","7","25,000","5","2017","목넘가는길 90",""
"전라남도 고흥군 도양읍 봉암리","2768","2768","0000","럭셔리우스","68.23","62","202107","15","17,500","5","2017","목넘가는길 90",""
"전라남도 고흥군 도양읍 봉암리","2768","2768","0000","럭셔리우스","68.23","62","202107","29","15,000","4","2017","목넘가는길 90",""
"전라남도 고흥군 도양읍 봉암리","2768","2768","0000","럭셔리우스","68.23","62","202109","16","10,800","3","2017","목넘가는길 90",""
"전라남도 고흥군 도양읍 봉암리","2768","2768","0000","럭셔리우스","68.23","62","202109","30","12,000","4","2017","목넘가는길 90",""
"전라남도 고흥군 도양읍 봉암리","산304-2","0304","0002","로얄연립","65.82","110","202011","20","4,800","1","1985","비봉등산길 25",""
"전라남도 고흥군 도양읍 봉암리","산304-2","0304","0002","로얄연립","65.82","110","202106","28","3,900","3","1985","비봉등산길 25",""
"전라남도 고흥군 도양읍 봉암리","3166","3166","0000","롯데빌리지","71.43","48.05","202102","4","12,500","4","2012","녹동2길 42-6",""
"전라남도 고흥군 도양읍 봉암리","3166","3166","0000","롯데빌리지","71.43","48.05","202102","4","12,500","4","2012","녹동2길 42-6","20210303"
"전라남도 고흥군 도양읍 봉암리","3166","3166","0000","롯데빌리지","71.43","48.05","202103","18","13,000","3","2012","녹동2길 42-6",""
"전라남도 고흥군 도양읍 봉암리","2240-271","2240","0271","모아1차","76.08","66.5","202010","28","7,700","4","2002","동두메1길 20",""
"전라남도 고흥군 도양읍 봉암리","2240-271","2240","0271","모아1차","76.08","66.5","202103","12","7,900","4","2002","동두메1길 20",""
"전라남도 고흥군 도양읍 봉암리","1614-10","1614","0010","세라빌라","54.09","44","202103","24","3,500","3","1994","번영1길 3",""
"전라남도 고흥군 도양읍 봉암리","1614-10","1614","0010","세라빌라","84.24","66","202107","29","4,600","4","1994","번영1길 3",""
"전라남도 고흥군 도양읍 봉암리","3411","3411","0000","세라빌라","64.66","31.21","202109","17","6,100","1","1994","녹동신항7길 15",""
"전라남도 고흥군 도양읍 봉암리","2699-225","2699","0225","소라","65.228","75","202011","23","4,500","1","1982","녹동남촌2길 7",""
"전라남도 고흥군 도양읍 봉암리","1987-2","1987","0002","아름빌라","84.15","63.5","202103","8","7,100","3","1995","아름길 5-2",""
"전라남도 고흥군 도양읍 봉암리","3460","3460","0000","청해빌라","103.62","47.1","202103","18","9,500","2","2001","천마로 176",""
"전라남도 고흥군 도양읍 봉암리","1912-1","1912","0001","푸른빌라","76.23","74.13","202012","21","6,000","1","1996","신정중앙길 8-20",""
