"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경상북도 경산시 사정동","22-4","0022","0004","미화","43.2","30.75","202103","27","6,000","4","1982","경산로 157",""
"경상북도 경산시 사정동","22-4","0022","0004","미화","54.01","32.07","202108","13","6,400","3","1982","경산로 157",""
"경상북도 경산시 사정동","85-3","0085","0003","에스지펠리체","64.305","46.5","202010","30","16,300","5","2015","중앙로2길 16",""
"경상북도 경산시 사정동","85-3","0085","0003","에스지펠리체","64.719","46.8","202011","25","15,800","5","2015","중앙로2길 16",""
"경상북도 경산시 사정동","85-3","0085","0003","에스지펠리체","65.672","47.49","202105","11","15,700","2","2015","중앙로2길 16",""
"경상북도 경산시 사정동","85-3","0085","0003","에스지펠리체","65.518","47.38","202107","12","15,800","4","2015","중앙로2길 16","20210722"
"경상북도 경산시 사정동","85-3","0085","0003","에스지펠리체","65.518","47.38","202107","12","15,800","4","2015","중앙로2길 16",""
"경상북도 경산시 사정동","254-1","0254","0001","조은사람조은집","62.99","70.54","202010","3","15,100","2","2015","삼성현로37길 5",""
"경상북도 경산시 사정동","254-1","0254","0001","조은사람조은집","62.99","70.54","202108","31","16,000","2","2015","삼성현로37길 5",""
"경상북도 경산시 사정동","132","0132","0000","청담포레","84.8844","67.44","202010","30","19,000","3","2016","장산로1길 45-8",""
"경상북도 경산시 사정동","132","0132","0000","청담포레","84.6025","67.21","202012","3","18,000","3","2016","장산로1길 45-8",""
"경상북도 경산시 사정동","132","0132","0000","청담포레","84.8844","67.44","202106","28","22,800","5","2016","장산로1길 45-8",""
"경상북도 경산시 삼남동","29","0029","0000","남광빌라(라)","69.83","35.77","202102","8","5,000","1","1992","경안로 92-2",""
"경상북도 경산시 삼남동","60","0060","0000","삼신하이츠","75.74","50.74","202011","25","8,500","1","1997","경안로21길 15",""
"경상북도 경산시 삼남동","60","0060","0000","삼신하이츠","69.58","46.61","202103","6","6,500","3","1997","경안로21길 15",""
"경상북도 경산시 삼북동","277-15","0277","0015","다채움(277-15)","68.4268","71.45","202010","3","13,000","5","2015","장산로25길 16",""
"경상북도 경산시 서상동","11-7","0011","0007","(11-7)","50.7","33.59","202106","30","2,000","2","1983","중앙로16길 38-1",""
"경상북도 경산시 서상동","11-7","0011","0007","(11-7)","42.6","28.23","202107","12","2,500","2","1983","중앙로16길 38-1",""
"경상북도 경산시 압량읍 부적리","489","0489","0000","성미(489-0)","48.36","44.72","202011","12","7,940","3","1980"," 2-1",""
"경상북도 경산시 압량읍 부적리","489","0489","0000","성미(489-0)","48.36","44.72","202012","28","7,000","4","1980"," 2-1",""
"경상북도 경산시 압량읍 부적리","489","0489","0000","성미(489-0)","48.36","44.72","202102","1","8,700","2","1980"," 2-1",""
"경상북도 경산시 압량읍 부적리","489","0489","0000","성미(489-0)","48.89","45.21","202103","17","7,000","1","1980"," 2-1",""
"경상북도 경산시 압량읍 부적리","489","0489","0000","성미(489-0)","48.36","44.72","202105","1","8,300","2","1980"," 2-1",""
"경상북도 경산시 압량읍 부적리","106-8","0106","0008","영남빌라","75.345","50.31","202108","20","8,200","2","1991"," 166",""
"경상북도 경산시 압량읍 부적리","786","0786","0000","태양그린빌라","61.17","27.77","202106","13","6,000","3","1996"," 85-9",""
"경상북도 경산시 옥곡동","33-2","0033","0002","피카소A","59.075","59.94","202011","2","12,000","5","2013","선비길2길 21",""
"경상북도 경산시 옥곡동","33-1","0033","0001","피카소B","59.8975","52.5","202011","23","12,000","3","2013","선비길2길 23",""
"경상북도 경산시 옥곡동","33-1","0033","0001","피카소B","59.8975","52.5","202107","21","10,900","5","2013","선비길2길 23",""
"경상북도 경산시 옥산동","132-5","0132","0005","미래빌라트105동","75.5","61.88","202011","18","15,300","4","2002","경산로 191-7",""
"경상북도 경산시 옥산동","132-5","0132","0005","미래빌라트105동","75.5","61.88","202104","7","10,700","3","2002","경산로 191-7","20210531"
"경상북도 경산시 옥산동","132-5","0132","0005","미래빌라트105동","75.5","61.88","202104","7","10,700","3","2002","경산로 191-7",""
"경상북도 경산시 옥산동","132-5","0132","0005","미래빌라트105동","75.5","61.88","202107","2","15,300","4","2002","경산로 191-7",""
"경상북도 경산시 옥산동","132-5","0132","0005","미래빌라트105동","75.5","61.88","202107","20","10,400","4","2002","경산로 191-7",""
"경상북도 경산시 옥산동","786-2","0786","0002","승리(101,102동)","75.62","61.69","202101","25","11,200","4","1996","경산로34길 17",""
"경상북도 경산시 와촌면 소월리","31-22","0031","0022","부국(가,나동)","74.37","57.81","202011","11","7,700","1","1998","소월2길 3",""
"경상북도 경산시 자인면 교촌리","105","0105","0000","(105-0)","49.4377","43.25","202101","21","5,800","3","2016","남촌2길 9",""
"경상북도 경산시 자인면 교촌리","349-1","0349","0001","(349-1)","68.1074","74.69","202010","19","14,500","5","2015","교촌길 30",""
"경상북도 경산시 자인면 교촌리","349-1","0349","0001","(349-1)","68.1074","74.69","202012","25","13,500","2","2015","교촌길 30",""
"경상북도 경산시 자인면 교촌리","313-3","0313","0003","소담마을B동","84.795","95.67","202106","30","14,800","3","2015","교촌길3길 6-3",""
"경상북도 경산시 자인면 동부리","126","0126","0000","길운","83.71","56","202107","26","5,500","3","1997","중촌천북길 27",""
"경상북도 경산시 자인면 동부리","198-1","0198","0001","유창하이빌101동102동","74.9917","75.89","202012","11","14,490","3","2012","동부길 14-8","20201231"
"경상북도 경산시 자인면 동부리","198-1","0198","0001","유창하이빌101동102동","74.9917","75.89","202012","11","14,417","3","2012","동부길 14-8",""
"경상북도 경산시 자인면 동부리","198-4","0198","0004","유창하이빌103동104동","74.9917","69.92","202011","2","14,500","5","2013","동부길 10",""
"경상북도 경산시 자인면 북사리","80","0080","0000","경도맨션","82.56","70.65","202107","27","7,000","3","1991","북사로7길 11",""
"경상북도 경산시 자인면 북사리","259-4","0259","0004","다사랑빌라(실버타운)","75.84","54.39","202109","12","3,400","4","1991","북사로7길 30",""
