"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"전라남도 강진군 강진읍 영파리","1***","단독","8m미만","95.44","658","202010","5","11,100","2017","영파길",""
"전라남도 강진군 강진읍 임천리","4**","단독","8m미만","40.4","188","202106","25","1,400","1960","학림길",""
"전라남도 강진군 강진읍 임천리","1**","단독","8m미만","36","264","202108","4","2,500","2017","신천길",""
"전라남도 강진군 강진읍 임천리","4**","단독","8m미만","67.2","334","202011","15","6,000","1955","학림길",""
"전라남도 강진군 강진읍 춘전리","4**","단독","8m미만","84","436","202103","28","5,000","1961","지전부춘길",""
"전라남도 강진군 강진읍 평동리","1**","단독","12m미만","89.94","208.9","202107","19","11,500","1979","영랑로",""
"전라남도 강진군 강진읍 평동리","2**","단독","8m미만","49.6","212","202107","16","6,100","1985","중앙로",""
"전라남도 강진군 강진읍 평동리","2**","단독","8m미만","50.3","247","202011","9","7,000","1940","중앙동길",""
"전라남도 강진군 강진읍 평동리","1**","단독","8m미만","33","276","202103","29","5,500","1984","보은로",""
"전라남도 강진군 강진읍 평동리","1**","단독","8m미만","86.1","483","202101","6","10,000","1960","금릉3길",""
"전라남도 강진군 강진읍 학명리","6**","단독","8m미만","52.6","165","202010","12","2,400","1943","도원길",""
"전라남도 강진군 강진읍 학명리","2**","단독","8m미만","48.96","183","202102","5","2,200","1994","초동길",""
"전라남도 강진군 강진읍 학명리","8**","단독","8m미만","49.6","334","202102","23","500","1943","호산길",""
"전라남도 강진군 강진읍 학명리","*","단독","8m미만","98.95","1018","202104","26","21,945","2013","도원길",""
"전라남도 강진군 강진읍 학명리","3**","단독","8m미만","80.19","1042","202103","8","4,000","1991","덕남로",""
"전라남도 강진군 군동면 금강리","3**","단독","8m미만","62.7","169","202105","14","1,000","1936","군동금강길",""
"전라남도 강진군 군동면 금강리","6**","단독","8m미만","112.4","413","202103","3","800","1945","군동금강길",""
"전라남도 강진군 군동면 금강리","6**","단독","8m미만","95.8","476","202012","9","1,700","1972","군동금강길",""
"전라남도 강진군 군동면 금강리","8**","단독","8m미만","223.45","658","202010","28","9,000","2010","내동길",""
"전라남도 강진군 군동면 금강리","6**","단독","8m미만","118.9","774","202105","7","3,500","1972","군동금강길",""
"전라남도 강진군 군동면 금사리","7**","단독","8m미만","69.3","221","202012","12","3,364","1945","덕마길",""
"전라남도 강진군 군동면 금사리","8**","단독","8m미만","102","268","202011","20","3,537","1991","덕마길",""
"전라남도 강진군 군동면 금사리","6**","단독","8m미만","108.8","420","202104","29","8,800","1937","금사길",""
"전라남도 강진군 군동면 덕천리","8**","단독","8m미만","62.5","298","202101","22","2,000","1931","덕천2길",""
"전라남도 강진군 군동면 덕천리","1**","단독","8m미만","142.54","889","202012","1","14,600","1950","군장로",""
"전라남도 강진군 군동면 덕천리","8**","단독","8m미만","125.5","922","202107","28","8,500","1950","덕천2길",""
"전라남도 강진군 군동면 라천리","3**","단독","8m미만","42.9","121.8","202104","23","740","1974","군동평리길",""
"전라남도 강진군 군동면 라천리","2**","단독","8m미만","76","247.5","202106","10","3,000","1945","군동평리길",""
"전라남도 강진군 군동면 라천리","7**","단독","8m미만","72.6","301","202103","26","2,000","1936","동동길",""
"전라남도 강진군 군동면 라천리","8**","단독","8m미만","59.49","367","202010","17","3,800","1974","동동길",""
"전라남도 강진군 군동면 라천리","2**","단독","8m미만","112.3","392.5","202104","23","1,000","1940","군동평리길",""
"전라남도 강진군 군동면 라천리","6**","단독","8m미만","95.8","457","202106","15","6,200","1979","시목안길",""
"전라남도 강진군 군동면 석교리","2**","단독","8m미만","95.8","264","202010","2","700","1977","석교로",""
"전라남도 강진군 군동면 석교리","2**","단독","8m미만","95.8","264","202106","18","700","1977","석교로",""
"전라남도 강진군 군동면 석교리","5**","단독","8m미만","150.9","542","202103","18","5,000","1993","석교로",""
"전라남도 강진군 군동면 석교리","3**","단독","8m미만","112.2","810","202107","21","4,000","1974","석교하촌길",""
"전라남도 강진군 군동면 쌍덕리","1**","단독","8m미만","59.4","294","202103","24","490","1935","평덕길",""
"전라남도 강진군 군동면 쌍덕리","3**","단독","8m미만","99.36","1167","202104","4","13,500","2000","평덕길",""
"전라남도 강진군 군동면 용소리","3**","단독","8m미만","102.4","238","202108","13","7,200","1975","안지동길",""
"전라남도 강진군 군동면 파산리","1**","단독","8m미만","99.12","256","202108","27","4,000","2013","진흥로",""
"전라남도 강진군 군동면 파산리","5**","단독","8m미만","66.97","374","202105","12","8,600","2014","생동길",""
"전라남도 강진군 군동면 풍동리","1***","단독","8m미만","152.75","360","202103","17","4,100","1940","풍동2길",""
"전라남도 강진군 군동면 호계리","8**","단독","8m미만","53","208","202101","3","4,100","1974","영포앞길",""
"전라남도 강진군 군동면 호계리","7**","단독","8m미만","60","255","202103","23","2,500","1955","영포3길",""
"전라남도 강진군 군동면 호계리","7**","단독","8m미만","82.61","331","202102","25","8,950","1980","영포3길",""
"전라남도 강진군 군동면 호계리","1**","단독","8m미만","69.3","337","202109","2","1,000","1975","군동오산길",""
"전라남도 강진군 군동면 호계리","5**","단독","8m미만","97.74","373","202106","21","26,500","2018","종합운동장길",""
"전라남도 강진군 군동면 호계리","1***","단독","12m미만","139.5","386.3","202105","31","24,000","2010","문화마을길",""
"전라남도 강진군 군동면 호계리","5**","단독","12m미만","98.82","420","202010","21","23,500","2018","종합운동장길",""
"전라남도 강진군 군동면 호계리","4**","단독","8m미만","92.4","450","202102","26","7,000","1980","갈전길",""
"전라남도 강진군 군동면 호계리","3**","단독","8m미만","69.3","478","202105","21","1,800","1974","갈전길",""
"전라남도 강진군 군동면 호계리","2**","단독","8m미만","95.8","638","202010","13","8,300","1977","갈전길",""
"전라남도 강진군 군동면 화산리","7**","단독","8m미만","286.27","1008","202012","30","10,000","1994","화방1길",""
"전라남도 강진군 대구면 구수리","8**","단독","8m미만","55.65","205","202109","6","2,800","1981","구곡길",""
"전라남도 강진군 대구면 구수리","1***","단독","8m미만","72.23","444","202104","1","7,070","1981","남호길",""
"전라남도 강진군 대구면 수동리","8**","단독","8m미만","89.96","121","202103","12","4,000","1980","백사2길",""
"전라남도 강진군 대구면 수동리","5**","단독","12m미만","22.08","169","202010","8","2,000","1945","수동길",""
"전라남도 강진군 대구면 저두리","2**","단독","8m미만","117.5","450","202103","10","9,000","1968","중저길",""
"전라남도 강진군 대구면 저두리","1**","단독","12m미만","82.5","608","202011","25","10,000","1994","청자로",""
"전라남도 강진군 도암면 강정리","4**","단독","12m미만","49.44","383","202104","26","3,000","1959","지석로",""
