"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210831 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대구광역시 달서구 용산동","562","0562","0000","용산우정아트빌","74.68","44.89","202109","30","12,500","4","2002","성지로14안길 41",""
"대구광역시 달서구 장기동","145-7","0145","0007","대도A동","68.85","50.32","202109","15","13,300","2","1994","성서동로60길 62",""
"대구광역시 달서구 장기동","320","0320","0000","한빛하이츠","73.86","52.13","202109","15","15,200","5","2002","문화회관길 32-6",""
"대구광역시 달서구 죽전동","69-4","0069","0004","명광그린빌","75.21","45","202109","4","21,300","1","2002","와룡로45길 24-7",""
"대구광역시 달서구 진천동","384","0384","0000","미산하이츠B","75.5","39.38","202108","31","17,000","3","2001","진천로3길 49",""
"대구광역시 달서구 진천동","130-26","0130","0026","황제빌B동","75.275","38","202109","28","25,000","2","2002","월배로28길 26",""
"대구광역시 달성군 가창면 용계리","9-4","0009","0004","혜성(501,502,503동)","164.64","142.74","202109","25","34,500","3","1992","가창로 1109-7",""
"대구광역시 달성군 논공읍 북리","803-154","0803","0154","경림1차","69.25","46.82","202109","10","5,200","3","1994","논공로21길 6-13",""
"대구광역시 달성군 논공읍 북리","803-234","0803","0234","새롬빌라","65.76","37.16","202109","25","4,450","4","2002","논공로27길 9",""
"대구광역시 달성군 논공읍 북리","486-7","0486","0007","용우","76.05","61.53","202109","15","4,300","4","1995","논공중앙로32길 8",""
"대구광역시 달성군 다사읍 죽곡리","123-4","0123","0004","문화","75.67","82.45","202108","31","14,000","3","1997","달구벌대로174길 22-4",""
"대구광역시 달성군 하빈면 현내리","916","0916","0000","전원102동","75.42","66.38","202109","28","10,000","2","2001","하빈로84길 4-3",""
"대구광역시 달성군 현풍읍 중리","345-3","0345","0003","정평그린빌라트A동","76.45","54.88","202109","10","9,600","3","2002"," 18",""
"대구광역시 동구 검사동","960-13","0960","0013","유일빌라(B)","48.31","37.58","202109","14","8,700","2","1993","해동로 241-3",""
"대구광역시 동구 도동","246-1","0246","0001","진우공원빌리지101동","76.51","56.13","202109","4","8,400","1","1997","팔공로24길 275-1",""
"대구광역시 동구 방촌동","1084-747","1084","0747","강촌하이츠102","75.15","51","202109","24","15,800","4","2003","화랑로80길 74",""
"대구광역시 동구 방촌동","1072-86","1072","0086","경북금성(3동,5동)","34.25","29.42","202109","23","8,600","2","1980","화랑로73길 42",""
"대구광역시 동구 방촌동","1072-24","1072","0024","경북금성(6동,7동)","43.12","37.63","202109","14","11,600","1","1981","화랑로73길 48",""
"대구광역시 동구 방촌동","798-18","0798","0018","신영빌라트1동","78.18","52.23","202109","13","14,700","2","2001","방촌로15길 87-5",""
"대구광역시 동구 방촌동","942-4","0942","0004","장원B동","75.93","40.59","202109","16","13,700","4","2000","방촌로21길 26",""
"대구광역시 동구 방촌동","1084-337","1084","0337","화신","46.695","56.8","202109","3","9,500","2","1980","화랑로69길 7-9",""
"대구광역시 동구 봉무동","1513-4","1513","0004","이시아 풍경마을","84.85","76.36","202109","4","18,500","3","2014","위남로 69",""
"대구광역시 동구 봉무동","163-7","0163","0007","형우(105동)","71.26","48.25","202109","26","14,100","1","1998","팔공로68길 15-4",""
"대구광역시 동구 불로동","1000-7","1000","0007","동남제삼빌","50.2","24.57","202109","28","12,200","2","2004","방천로1길 9",""
"대구광역시 동구 불로동","1023-10","1023","0010","문화하이츠","69.1","39.65","202109","30","15,500","1","1994","해동로8길 95",""
"대구광역시 동구 불로동","985-4","0985","0004","삼양주택(105)","44.742","40.66","202109","11","11,500","1","1989","방천로1길 41",""
"대구광역시 동구 서호동","8-3","0008","0003","목화그린빌","74.65","50.78","202109","1","15,000","4","2001","경안로109길 30",""
"대구광역시 동구 송정동","249-2","0249","0002","팔공더힐","95.9387","116.09","202109","15","50,000","3","2020","팔공산로 368-1",""
"대구광역시 동구 신기동","291-3","0291","0003","목련아트빌","69.25","28.5","202109","30","12,000","2","2003","율하동로26길 28",""
