"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20201001 ~ 20210930"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","35.7788","11.8","202103","15","14,500","5","2018","한누리대로 1948",""
"세종특별자치시 반곡동","가-4121-1004","4121","1004","더스테이빌딩","35.7788","11.81","202107","30","15,400","5","2018","한누리대로 1948",""
"세종특별자치시 반곡동","가-4121-1002","4121","1002","세종펠리스","26.2699","14.45","202012","18","17,000","6","2020","한누리대로 1940",""
"세종특별자치시 반곡동","가-4121-1002","4121","1002","세종펠리스","26.2699","14.6","202101","15","17,000","6","2020","한누리대로 1940",""
"세종특별자치시 반곡동","가-4121-1002","4121","1002","세종펠리스","22.1555","8.69","202103","29","14,000","5","2020","한누리대로 1940",""
"세종특별자치시 반곡동","가-4121-1002","4121","1002","세종펠리스","25.0347","11.67","202107","19","15,000","6","2020","한누리대로 1940",""
"세종특별자치시 반곡동","가-4121-1002","4121","1002","세종펠리스","26.2699","14.6","202109","3","17,500","6","2020","한누리대로 1940",""
"세종특별자치시 반곡동","가-4121-1002","4121","1002","세종펠리스","25.1089","11.8","202109","24","15,000","6","2020","한누리대로 1940",""
"세종특별자치시 반곡동","가-4121-1002","4121","1002","세종펠리스","24.4406","11.8","202109","24","15,000","6","2020","한누리대로 1940",""
"세종특별자치시 반곡동","가-4121-2002","4121","2002","씨즈파크뷰","21.9063","8.92","202012","16","13,600","6","2019","국책연구원3로 6",""
"세종특별자치시 반곡동","가-4121-2002","4121","2002","씨즈파크뷰","29.9273","12.19","202101","18","12,800","5","2019","국책연구원3로 6",""
"세종특별자치시 반곡동","가-4121-2002","4121","2002","씨즈파크뷰","21.9063","8.92","202103","13","12,500","5","2019","국책연구원3로 6",""
"세종특별자치시 반곡동","가-4121-2002","4121","2002","씨즈파크뷰","21.9063","8.92","202105","25","12,500","6","2019","국책연구원3로 6",""
"세종특별자치시 반곡동","가-4121-2002","4121","2002","씨즈파크뷰","20.2808","6.87","202107","1","10,500","6","2019","국책연구원3로 6",""
"세종특별자치시 반곡동","가-4121-2002","4121","2002","씨즈파크뷰","22.0568","8.99","202109","4","10,250","4","2019","국책연구원3로 6",""
"세종특별자치시 반곡동","가-4121-2002","4121","2002","씨즈파크뷰","25.8118","10.52","202109","9","11,500","4","2019","국책연구원3로 6",""
