x,y,ID,NAME,CATE,type,lat,lng
459932,1130270,26891620,다솜SH작은도서관,작은도서관,도서관,37.56837160633007,126.81858353705366
465007,1130240,206910743,강서구 스마트도서관,작은도서관,도서관,37.56829656081471,126.84156183061076
458850,1133140,26332995,길꽃어린이도서관 개방화장실,화장실,도서관,37.57870734295121,126.8136588031504
474850,1132056,17984700,박정희대통령 기념도서관,도서관,도서관,37.574892774305226,126.88611802239208
473620,1134716,2115621273,마포 푸르메어린이도서관,도서관,도서관,37.584473824668144,126.88053314099606
471918,1138888,11993002,화전작은도서관,작은도서관,도서관,37.59950149036397,126.87279973840978
472767,1135446,26341532,대덕작은도서관,작은도서관,도서관,37.5871007452909,126.87666583536104
474265,1133514,705573244,꿈의숲작은도서관,작은도서관,도서관,37.58014477687893,126.88346089366648
476741,1132997,21812015,상암동문고,작은도서관,도서관,37.57829206120384,126.89467588889174
473789,1135571,1962541575,상암월드컵파크11단지도서관,작은도서관,도서관,37.58755598609972,126.88129359508709
477765,1134875,21812176,물빛마을작은도서관,작은도서관,도서관,37.58506436101091,126.89930376277354
473828,1133962,2127584962,상암월드컵파크7단지도서관,작은도서관,도서관,37.58175738395306,126.8814794148554
473988,1132984,21812016,해오름문고,작은도서관,도서관,37.5782334285912,126.88220953051626
475686,1133597,759416678,한국영상자료원 영상도서관 상암본원,도서관,도서관,37.58045008365126,126.88989533879516
474920,1132007,1911874036,어깨동무스토리움,도서관,도서관,37.574716485041904,126.886435257727
470081,1138512,17563631,한국항공대학교 중앙도서관,도서관,도서관,37.59813714263727,126.864481339434
476219,1138761,1265725934,에이블영어도서관영어학원,학원,도서관,37.59906317622275,126.8922821787287
486946,1134376,7938253,서대문도서관,도서관,도서관,37.58329412569693,126.94088339693477
482266,1135114,8044854,응암정보도서관,도서관,도서관,37.58594133823055,126.91968661537652
479605,1134241,23898568,구립증산정보도서관,도서관,도서관,37.58278625935485,126.90763943240924
479693,1136699,1754782885,내를건너서숲으로도서관,도서관,도서관,37.5916451201084,126.90802704867822
481077,1136405,18231437,불광천작은도서관,작은도서관,도서관,37.59059027237591,126.9142965667124
478207,1131060,15249939,성산글마루작은도서관,작은도서관,도서관,37.5713169010995,126.9013236031519
485400,1136484,581857315,홍은2동논골작은도서관,작은도서관,도서관,37.59088757804162,126.93387543453989
484532,1139747,21811814,은평작은도서관,작은도서관,도서관,37.60264504016891,126.92993316986517
479467,1130329,19571036,와글와글작은도서관,작은도서관,도서관,37.568687024757175,126.9070320172954
483236,1132996,14826242,남가좌 새롬어린이도서관,도서관,도서관,37.5783110346511,126.92408727931875
484463,1139130,21812188,응암도서관,작은도서관,도서관,37.60042121109517,126.92962270909818
487956,1135260,1796790994,세빛도서관,작은도서관,도서관,37.58648223802811,126.94545497643983
485663,1139361,26214615,녹번만화도서관,작은도서관,도서관,37.601256842019005,126.93505757129984
478179,1135287,766963095,수색한숲도서관,작은도서관,도서관,37.58655077977497,126.90117669010613
482350,1138704,1591596947,푸른풀밭작은도서관,작은도서관,도서관,37.598879828793926,126.92005319330788
481130,1138902,21812180,예뜰도서관,작은도서관,도서관,37.59958954027874,126.91452631422392
482284,1131599,737686776,남가좌1동파랑새작은도서관,작은도서관,도서관,37.573273431197926,126.91978172553576
480610,1138475,21812192,신사어린이도서관,작은도서관,도서관,37.59804892016746,126.9121727299484
479907,1130324,8382865,성메작은도서관,작은도서관,도서관,37.56867055687,126.90902424028494
481562,1138733,2132486741,포수마을만화도서관 (2021년예정),작은도서관,도서관,37.59898187194061,126.91648378336173
480852,1130457,78976531,가좌행복작은도서관,작은도서관,도서관,37.56915310561107,126.91330238876068
484733,1130495,21812025,연희동아이누리작은도서관,작은도서관,도서관,37.569301653534446,126.9308744982687
479655,1130243,21812008,풀뿌리문고,작은도서관,도서관,37.56837774989916,126.90788361215763
482012,1139565,312614651,꿈꾸는작은도서관,작은도서관,도서관,37.60198179085799,126.91851881803214
480281,1134533,381816225,이팝꽃향기작은도서관,작은도서관,도서관,37.583840973924055,126.91069949790912
